Path,image_filename,caption,ctr_label,platform
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_001.jpg,Brighten your smile in just one visit!,High,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_002.jpg,"Professional whitening for a red-carpet smile.""",High,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_003.jpg,"No more hiding—flash those pearly whites!""",High,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_004.jpg,"Straighten your teeth discreetly with clear aligners.""",High,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_005.jpg,"Dental care so smooth, you’ll forget you’re at the clinic.""",High,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_006.jpg,"Say goodbye to sensitivity—hello to ice cream!""",Medium,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_007.jpg,"Your dream smile is only an appointment away.""",Medium,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_008.jpg,"We turn toothaches into tooth wows.""",Medium,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_009.jpg,"Because confidence starts with a healthy smile.""",Medium,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_010.jpg,"Advanced tech for pain-free dentistry.""",Medium,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_011.jpg,"Get a smile that outshines your selfies.""",Low,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_012.jpg,"Invisible braces, visible results.""",Low,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_013.jpg,"Dental implants that feel (and look) natural.""",Low,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_014.jpg,"Fight cavities before they start.""",Low,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_015.jpg,"A smile makeover in just one session.""",Low,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_016.jpg,"Perfect teeth shouldn’t be a luxury.""",high,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_017.jpg,"Wake up with a brighter smile every day.""",Low,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_018.jpg,"No drills, no fear—just flawless teeth.""",medium,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_019.jpg,"Your smile deserves expert hands.""",Low,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_020.jpg,"From stained to stunning in 60 minutes.""",High,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_021.jpg,"We cater to cowards (and brave souls too).""",High,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_022.jpg,"Dental care that fits your busy life.""",High,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_023.jpg,"Because crooked teeth shouldn’t hold you back.""",High,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_024.jpg,"Whiter teeth, bolder confidence.""",High,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_025.jpg,"Fix gaps without the metal mouth.""",Low,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_026.jpg,"A smile so radiant, it’s contagious.""",Low,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_027.jpg,"Gentle care for even the most nervous patients.""",Low,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_028.jpg,"Teeth whitening that actually works.""",Low,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_029.jpg,"Stop dreaming about straight teeth—get them!""",Medium,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_030.jpg,"The secret to a million-dollar smile.""",Medium,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_031.jpg,"Dental care that pampers you.""",Medium,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_032.jpg,"Braces without the awkward phase.""",Medium,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_033.jpg,"Because your smile is your best accessory.""",Medium,Instagram
ad_034.jpg,ad_034.jpg,"No more yellow—just wow.""",Medium,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_035.jpg,"A smile that matches your ambition.""",High,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_036.jpg,"Floss later? We’ll remind you.""",High,facebook
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_037.jpg,"Where anxiety meets comfort.""",High,Instagram
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_038.jpg,"Smile now, thank us later.""",Low,facebook
